id,group_number,current_stage,status,created_at
group-01,1,6,active,2026-01-01T00:00:00+00:00
group-02,2,6,active,2026-01-01T00:00:00+00:00
group-03,3,6,active,2026-01-01T00:00:00+00:00
group-04,4,6,active,2026-01-01T00:00:00+00:00
group-05,5,6,active,2026-01-01T00:00:00+00:00
group-06,6,6,active,2026-01-01T00:00:00+00:00
group-07,7,6,active,2026-01-01T00:00:00+00:00
group-08,8,6,active,2026-01-01T00:00:00+00:00
group-09,9,6,active,2026-01-01T00:00:00+00:00
group-10,10,6,active,2026-01-01T00:00:00+00:00
group-11,11,6,active,2026-01-01T00:00:00+00:00
group-12,12,6,active,2026-01-01T00:00:00+00:00
