id,group_id,stage,event_type,target,created_at
event-00000,group-01,0,stage.submission_save,stage-0,2026-01-01T09:06:14+00:00
event-00001,group-01,0,stage.submission_save,stage-0,2026-01-01T09:12:52+00:00
event-00002,group-01,0,agent.help_click,stage-0,2026-01-01T09:19:25+00:00
event-00003,group-01,1,agent.help_click,stage-1,2026-01-01T09:25:24+00:00
event-00004,group-01,1,stage.submission_save,stage-1,2026-01-01T09:27:01+00:00
event-00005,group-01,1,stage.submission_save,stage-1,2026-01-01T09:32:04+00:00
event-00006,group-01,2,stage.submission_save,stage-2,2026-01-01T09:35:32+00:00
event-00007,group-01,2,agent.help_click,stage-2,2026-01-01T09:38:09+00:00
event-00008,group-01,2,agent.help_click,stage-2,2026-01-01T09:44:43+00:00
event-00009,group-01,3,agent.help_click,stage-3,2026-01-01T09:46:00+00:00
event-00010,group-01,3,agent.help_click,stage-3,2026-01-01T09:49:34+00:00
event-00011,group-01,3,stage.submission_save,stage-3,2026-01-01T09:50:33+00:00
event-00012,group-01,4,agent.help_click,stage-4,2026-01-01T09:56:43+00:00
event-00013,group-01,4,stage.submission_save,stage-4,2026-01-01T10:02:07+00:00
event-00014,group-01,4,stage.submission_save,stage-4,2026-01-01T10:08:34+00:00
event-00015,group-01,5,agent.help_click,stage-5,2026-01-01T10:12:24+00:00
event-00016,group-01,5,agent.help_click,stage-5,2026-01-01T10:15:04+00:00
event-00017,group-01,5,stage.submission_save,stage-5,2026-01-01T10:16:18+00:00
event-00018,group-01,6,agent.help_click,stage-6,2026-01-01T10:22:46+00:00
event-00019,group-01,6,agent.help_click,stage-6,2026-01-01T10:28:00+00:00
event-00020,group-01,6,stage.submission_save,stage-6,2026-01-01T10:30:26+00:00
event-00021,group-02,0,agent.help_click,stage-0,2026-01-01T10:35:54+00:00
event-00022,group-02,0,stage.submission_save,stage-0,2026-01-01T10:40:17+00:00
event-00023,group-02,0,agent.help_click,stage-0,2026-01-01T10:44:52+00:00
event-00024,group-02,1,agent.help_click,stage-1,2026-01-01T10:46:31+00:00
event-00025,group-02,1,agent.help_click,stage-1,2026-01-01T10:48:58+00:00
event-00026,group-02,1,agent.help_click,stage-1,2026-01-01T10:50:21+00:00
event-00027,group-02,2,agent.help_click,stage-2,2026-01-01T10:56:08+00:00
event-00028,group-02,2,agent.help_click,stage-2,2026-01-01T10:58:35+00:00
event-00029,group-02,2,stage.submission_save,stage-2,2026-01-01T11:05:11+00:00
event-00030,group-02,3,agent.help_click,stage-3,2026-01-01T11:07:42+00:00
event-00031,group-02,3,agent.help_click,stage-3,2026-01-01T11:08:55+00:00
event-00032,group-02,3,stage.submission_save,stage-3,2026-01-01T11:11:57+00:00
event-00033,group-02,4,agent.help_click,stage-4,2026-01-01T11:13:46+00:00
event-00034,group-02,4,agent.help_click,stage-4,2026-01-01T11:16:22+00:00
event-00035,group-02,4,agent.help_click,stage-4,2026-01-01T11:22:27+00:00
event-00036,group-02,5,stage.submission_save,stage-5,2026-01-01T11:23:43+00:00
event-00037,group-02,5,stage.submission_save,stage-5,2026-01-01T11:27:20+00:00
event-00038,group-02,5,stage.submission_save,stage-5,2026-01-01T11:30:47+00:00
event-00039,group-02,6,stage.submission_save,stage-6,2026-01-01T11:37:04+00:00
event-00040,group-02,6,stage.submission_save,stage-6,2026-01-01T11:42:32+00:00
event-00041,group-03,0,stage.submission_save,stage-0,2026-01-01T11:44:14+00:00
event-00042,group-03,0,stage.submission_save,stage-0,2026-01-01T11:50:46+00:00
event-00043,group-03,0,stage.submission_save,stage-0,2026-01-01T11:54:51+00:00
event-00044,group-03,0,stage.submission_save,stage-0,2026-01-01T12:00:34+00:00
event-00045,group-03,0,stage.submission_save,stage-0,2026-01-01T12:03:55+00:00
event-00046,group-03,1,agent.help_click,stage-1,2026-01-01T12:04:44+00:00
event-00047,group-03,1,stage.submission_save,stage-1,2026-01-01T12:09:35+00:00
event-00048,group-03,1,stage.submission_save,stage-1,2026-01-01T12:15:13+00:00
event-00049,group-03,1,agent.help_click,stage-1,2026-01-01T12:19:48+00:00
